claim_id,filing_date,claim_amount_gbp,track,defended,disposition_type,disposition_date,days_to_resolution,final_awarded_amount_gbp,case_status,event_observed
GC-2022-02776,2022-01-01,5646.38,Small claims,False,Paid or discontinued,2022-02-13,43,4395.4,Resolved,1
GC-2022-00576,2022-01-01,1439.75,Small claims,False,Default Judgment,2022-02-27,57,1439.75,Resolved,1
GC-2022-04700,2022-01-01,6244.29,Small claims,False,Paid or discontinued,2022-01-20,19,4911.88,Resolved,1
GC-2022-01793,2022-01-01,1442.86,Small claims,False,Default Judgment,2022-02-22,52,1442.86,Resolved,1
GC-2022-00931,2022-01-01,2781.97,Small claims,False,Paid or discontinued,2022-01-15,14,2647.02,Resolved,1
GC-2022-04986,2022-01-01,379.94,Small claims,False,Paid or discontinued,2022-02-25,55,269.17,Resolved,1
GC-2022-01285,2022-01-01,7994.98,Small claims,False,Default Judgment,2022-02-14,44,7994.98,Resolved,1
GC-2022-03093,2022-01-01,130.96,Small claims,False,Default Judgment,2022-04-20,109,130.96,Resolved,1
GC-2022-02106,2022-01-01,2578.12,Small claims,False,Default Judgment,2022-03-01,59,2578.12,Resolved,1
GC-2022-04795,2022-01-02,4934.9,Small claims,False,Paid or discontinued,2022-02-08,37,3865.33,Resolved,1
GC-2022-00365,2022-01-02,243.58,Small claims,False,Paid or discontinued,2022-02-11,40,201.81,Resolved,1
GC-2022-04023,2022-01-02,32182.14,Fast/multi-track,False,Default Judgment,2022-02-09,38,32182.14,Resolved,1
GC-2022-04694,2022-01-02,2942.55,Small claims,False,Default Judgment,2022-02-07,36,2942.55,Resolved,1
GC-2022-00558,2022-01-02,11086.41,Fast/multi-track,False,Default Judgment,2022-02-12,41,11086.41,Resolved,1
GC-2022-03884,2022-01-02,3216.86,Small claims,False,Paid or discontinued,2022-01-28,26,2486.71,Resolved,1
GC-2022-01774,2022-01-02,1688.95,Small claims,False,Default Judgment,2022-02-06,35,1688.95,Resolved,1
GC-2022-01601,2022-01-02,3076.68,Small claims,False,Default Judgment,2022-02-22,51,3076.68,Resolved,1
GC-2022-00609,2022-01-02,229.32,Small claims,False,Paid or discontinued,2022-02-07,36,106.62,Resolved,1
GC-2022-03533,2022-01-02,4300.05,Small claims,True,Settled,2022-05-11,129,1797.78,Resolved,1
GC-2022-01876,2022-01-02,2773.71,Small claims,False,Paid or discontinued,2022-02-09,38,2263.32,Resolved,1
GC-2022-02801,2022-01-02,724.99,Small claims,False,Paid or discontinued,2022-03-05,62,531.58,Resolved,1
GC-2022-02360,2022-01-02,9341.27,Small claims,False,Default Judgment,2022-02-15,44,9341.27,Resolved,1
GC-2022-01450,2022-01-02,3657.31,Small claims,False,Default Judgment,2022-03-04,61,3657.31,Resolved,1
GC-2022-03543,2022-01-02,5543.36,Small claims,False,Default Judgment,2022-02-13,42,5543.36,Resolved,1
GC-2022-00362,2022-01-03,1595.94,Small claims,False,Paid or discontinued,2022-01-22,19,1254.91,Resolved,1
GC-2022-01188,2022-01-03,3202.25,Small claims,False,Default Judgment,2022-03-10,66,3202.25,Resolved,1
GC-2022-04900,2022-01-03,360.97,Small claims,False,Default Judgment,2022-03-16,72,360.97,Resolved,1
GC-2022-00497,2022-01-03,35672.1,Fast/multi-track,False,Paid or discontinued,2022-01-31,28,18705.58,Resolved,1
GC-2022-02749,2022-01-03,24398.74,Fast/multi-track,False,Paid or discontinued,2022-01-12,9,10645.66,Resolved,1
GC-2022-00343,2022-01-03,6315.15,Small claims,False,Default Judgment,2022-02-21,49,6315.15,Resolved,1
GC-2022-04287,2022-01-03,1536.57,Small claims,False,Paid or discontinued,2022-01-30,27,1063.12,Resolved,1
GC-2022-02317,2022-01-03,47967.53,Fast/multi-track,True,Settled,2022-11-21,322,23027.44,Resolved,1
GC-2022-01972,2022-01-03,4650.62,Small claims,True,Settled,2022-07-28,206,1821.08,Resolved,1
GC-2022-03839,2022-01-04,38175.41,Fast/multi-track,False,Default Judgment,2022-02-18,45,38175.41,Resolved,1
GC-2022-01790,2022-01-04,2361.72,Small claims,False,Paid or discontinued,2022-01-25,21,1532.12,Resolved,1
GC-2022-04490,2022-01-04,5063.67,Small claims,False,Default Judgment,2022-03-05,60,5063.67,Resolved,1
GC-2022-00507,2022-01-04,1111.92,Small claims,False,Paid or discontinued,2022-02-15,42,153.02,Resolved,1
GC-2022-01734,2022-01-04,1826.22,Small claims,False,Paid or discontinued,2022-02-08,35,604.68,Resolved,1
GC-2022-03235,2022-01-04,1959.09,Small claims,False,Default Judgment,2022-02-19,46,1959.09,Resolved,1
GC-2022-04155,2022-01-04,38594.35,Fast/multi-track,False,Paid or discontinued,2022-02-10,37,25044.85,Resolved,1
GC-2022-03086,2022-01-04,5196.78,Small claims,False,Default Judgment,2022-03-27,82,5196.78,Resolved,1
GC-2022-01371,2022-01-04,379.08,Small claims,False,Default Judgment,2022-02-26,53,379.08,Resolved,1
GC-2022-02249,2022-01-04,3497.15,Small claims,False,Default Judgment,2022-02-23,50,3497.15,Resolved,1
GC-2022-04015,2022-01-04,2924.28,Small claims,False,Paid or discontinued,2022-02-26,53,2355.93,Resolved,1
GC-2022-00433,2022-01-05,7819.73,Small claims,False,Paid or discontinued,2022-02-07,33,7210.68,Resolved,1
GC-2022-05006,2022-01-05,7972.84,Small claims,False,Paid or discontinued,2022-02-26,52,6771.05,Resolved,1
GC-2022-03358,2022-01-05,2619.44,Small claims,False,Default Judgment,2022-03-21,75,2619.44,Resolved,1
GC-2022-03926,2022-01-05,17694.14,Fast/multi-track,True,Trial Judgment,2022-12-09,338,0.0,Resolved,1
GC-2022-01047,2022-01-05,18258.66,Fast/multi-track,False,Default Judgment,2022-02-19,45,18258.66,Resolved,1
GC-2022-01167,2022-01-05,639.94,Small claims,False,Default Judgment,2022-03-12,66,639.94,Resolved,1
GC-2022-03530,2022-01-05,8758.2,Small claims,False,Default Judgment,2022-03-25,79,8758.2,Resolved,1
GC-2022-03518,2022-01-05,3533.45,Small claims,False,Default Judgment,2022-02-19,45,3533.45,Resolved,1
GC-2022-04380,2022-01-05,1738.38,Small claims,False,Paid or discontinued,2022-01-23,18,1503.39,Resolved,1
GC-2022-02197,2022-01-05,186.97,Small claims,False,Paid or discontinued,2022-02-04,30,123.58,Resolved,1
GC-2022-02621,2022-01-05,14574.72,Fast/multi-track,False,Paid or discontinued,2022-02-06,32,8064.97,Resolved,1
GC-2022-00804,2022-01-05,6869.36,Small claims,False,Default Judgment,2022-02-14,40,6869.36,Resolved,1
GC-2022-00485,2022-01-05,2538.79,Small claims,False,Default Judgment,2022-02-17,43,2538.79,Resolved,1
GC-2022-02901,2022-01-05,969.79,Small claims,False,Default Judgment,2022-02-13,39,969.79,Resolved,1
GC-2022-03116,2022-01-06,2061.63,Small claims,False,Default Judgment,2022-03-04,57,2061.63,Resolved,1
GC-2022-04204,2022-01-06,1574.74,Small claims,True,Settled,2022-05-04,118,894.39,Resolved,1
GC-2022-03888,2022-01-06,20215.22,Fast/multi-track,False,Default Judgment,2022-05-23,137,20215.22,Resolved,1
GC-2022-02609,2022-01-06,211.43,Small claims,False,Paid or discontinued,2022-01-30,24,170.77,Resolved,1
GC-2022-03336,2022-01-06,480.55,Small claims,False,Default Judgment,2022-03-14,67,480.55,Resolved,1
GC-2022-03757,2022-01-06,3524.61,Small claims,False,Paid or discontinued,2022-01-24,18,770.63,Resolved,1
GC-2022-00406,2022-01-06,3264.76,Small claims,False,Default Judgment,2022-03-09,62,3264.76,Resolved,1
GC-2022-01637,2022-01-06,1861.63,Small claims,True,Settled,2022-07-03,178,407.23,Resolved,1
GC-2022-01805,2022-01-06,5224.87,Small claims,False,Default Judgment,2022-02-14,39,5224.87,Resolved,1
GC-2022-01837,2022-01-06,41283.48,Fast/multi-track,False,Default Judgment,2022-03-11,64,41283.48,Resolved,1
GC-2022-04365,2022-01-06,6402.99,Small claims,False,Default Judgment,2022-02-12,37,6402.99,Resolved,1
GC-2022-01307,2022-01-06,812.87,Small claims,False,Default Judgment,2022-02-12,37,812.87,Resolved,1
GC-2022-04534,2022-01-06,9034.25,Small claims,False,Paid or discontinued,2022-02-08,33,7352.36,Resolved,1
GC-2022-03894,2022-01-06,1575.17,Small claims,False,Paid or discontinued,2022-02-26,51,815.11,Resolved,1
GC-2022-04245,2022-01-06,21840.36,Fast/multi-track,False,Default Judgment,2022-02-19,44,21840.36,Resolved,1
GC-2022-01669,2022-01-07,662.69,Small claims,False,Paid or discontinued,2022-02-02,26,432.19,Resolved,1
GC-2022-02819,2022-01-07,351.95,Small claims,False,Default Judgment,2022-03-05,57,351.95,Resolved,1
GC-2022-00702,2022-01-07,3106.64,Small claims,False,Paid or discontinued,2022-02-03,27,2220.52,Resolved,1
GC-2022-01835,2022-01-07,6653.23,Small claims,False,Default Judgment,2022-03-01,53,6653.23,Resolved,1
GC-2022-05031,2022-01-07,502.25,Small claims,True,Settled,2022-06-11,155,211.2,Resolved,1
GC-2022-01578,2022-01-07,7064.47,Small claims,False,Default Judgment,2022-02-16,40,7064.47,Resolved,1
GC-2022-00232,2022-01-07,11973.27,Fast/multi-track,True,Settled,2022-08-18,223,3442.56,Resolved,1
GC-2022-04697,2022-01-07,3766.54,Small claims,True,Settled,2022-05-10,123,1422.18,Resolved,1
GC-2022-02619,2022-01-07,36547.02,Fast/multi-track,False,Default Judgment,2022-02-18,42,36547.02,Resolved,1
GC-2022-00812,2022-01-07,8809.22,Small claims,False,Default Judgment,2022-03-21,73,8809.22,Resolved,1
GC-2022-02651,2022-01-07,1952.71,Small claims,False,Default Judgment,2022-04-05,88,1952.71,Resolved,1
GC-2022-01621,2022-01-07,1848.22,Small claims,False,Paid or discontinued,2022-01-19,12,1019.51,Resolved,1
GC-2022-03969,2022-01-07,2449.19,Small claims,False,Paid or discontinued,2022-01-24,17,1787.04,Resolved,1
GC-2022-01528,2022-01-07,3427.71,Small claims,False,Default Judgment,2022-03-01,53,3427.71,Resolved,1
GC-2022-00303,2022-01-07,820.9,Small claims,False,Default Judgment,2022-03-10,62,820.9,Resolved,1
GC-2022-02423,2022-01-07,10506.79,Fast/multi-track,False,Paid or discontinued,2022-02-04,28,6885.88,Resolved,1
GC-2022-00656,2022-01-07,354.96,Small claims,False,Default Judgment,2022-03-01,53,354.96,Resolved,1
GC-2022-03278,2022-01-07,706.3,Small claims,False,Paid or discontinued,2022-02-18,42,581.73,Resolved,1
GC-2022-00387,2022-01-07,1745.64,Small claims,False,Default Judgment,2022-03-05,57,1745.64,Resolved,1
GC-2022-00320,2022-01-07,4318.35,Small claims,False,Paid or discontinued,2022-02-16,40,3039.96,Resolved,1
GC-2022-03889,2022-01-08,7026.89,Small claims,True,Trial Judgment,2022-12-10,336,5342.59,Resolved,1
GC-2022-03523,2022-01-08,1988.84,Small claims,False,Paid or discontinued,2022-01-28,20,1068.26,Resolved,1
GC-2022-00663,2022-01-08,586.24,Small claims,False,Default Judgment,2022-02-18,41,586.24,Resolved,1
GC-2022-04962,2022-01-08,8718.19,Small claims,False,Paid or discontinued,2022-01-29,21,3933.15,Resolved,1
GC-2022-00810,2022-01-08,413.86,Small claims,False,Default Judgment,2022-04-09,91,413.86,Resolved,1
GC-2022-01332,2022-01-08,12791.49,Fast/multi-track,True,Settled,2022-07-09,182,5930.04,Resolved,1
GC-2022-00089,2022-01-08,4953.41,Small claims,True,Settled,2022-04-29,111,1309.96,Resolved,1
GC-2022-01533,2022-01-08,50274.04,Fast/multi-track,True,Settled,2022-08-18,222,42155.83,Resolved,1
GC-2022-00213,2022-01-08,5339.89,Small claims,False,Default Judgment,2022-02-22,45,5339.89,Resolved,1
GC-2022-00212,2022-01-08,1746.62,Small claims,False,Default Judgment,2022-03-12,63,1746.62,Resolved,1
GC-2022-04311,2022-01-08,568.53,Small claims,False,Default Judgment,2022-03-05,56,568.53,Resolved,1
GC-2022-01964,2022-01-08,5326.91,Small claims,False,Default Judgment,2022-03-04,55,5326.91,Resolved,1
GC-2022-04630,2022-01-08,661.03,Small claims,False,Default Judgment,2022-03-01,52,661.03,Resolved,1
GC-2022-01162,2022-01-08,1833.07,Small claims,False,Paid or discontinued,2022-02-05,28,1464.45,Resolved,1
GC-2022-04912,2022-01-08,3009.15,Small claims,False,Default Judgment,2022-02-26,49,3009.15,Resolved,1
GC-2022-00190,2022-01-08,469.27,Small claims,False,Paid or discontinued,2022-02-01,24,372.92,Resolved,1
GC-2022-02384,2022-01-08,18909.69,Fast/multi-track,False,Default Judgment,2022-02-07,30,18909.69,Resolved,1
GC-2022-03101,2022-01-08,6819.34,Small claims,False,Default Judgment,2022-02-18,41,6819.34,Resolved,1
GC-2022-02720,2022-01-09,589.25,Small claims,False,Paid or discontinued,2022-02-24,46,305.78,Resolved,1
GC-2022-02285,2022-01-09,13327.21,Fast/multi-track,False,Paid or discontinued,2022-02-11,33,10105.16,Resolved,1
GC-2022-03041,2022-01-09,4079.97,Small claims,False,Default Judgment,2022-02-26,48,4079.97,Resolved,1
GC-2022-02752,2022-01-09,1882.26,Small claims,True,Settled,2022-05-08,119,481.02,Resolved,1
GC-2022-01032,2022-01-09,20087.56,Fast/multi-track,True,Trial Judgment,2022-09-24,258,0.0,Resolved,1
GC-2022-02259,2022-01-09,773.63,Small claims,False,Paid or discontinued,2022-01-22,13,571.37,Resolved,1
GC-2022-03118,2022-01-09,2242.64,Small claims,False,Paid or discontinued,2022-01-24,15,1249.01,Resolved,1
GC-2022-02876,2022-01-09,7020.28,Small claims,False,Paid or discontinued,2022-02-08,30,4743.38,Resolved,1
GC-2022-04250,2022-01-09,136.73,Small claims,False,Default Judgment,2022-04-09,90,136.73,Resolved,1
GC-2022-02737,2022-01-09,1247.1,Small claims,False,Paid or discontinued,2022-03-02,52,559.94,Resolved,1
GC-2022-04897,2022-01-09,1078.59,Small claims,False,Paid or discontinued,2022-03-12,62,622.86,Resolved,1
GC-2022-04882,2022-01-09,10312.53,Fast/multi-track,False,Default Judgment,2022-03-16,66,10312.53,Resolved,1
GC-2022-03535,2022-01-09,3736.4,Small claims,False,Default Judgment,2022-02-23,45,3736.4,Resolved,1
GC-2022-03616,2022-01-09,5839.67,Small claims,False,Paid or discontinued,2022-02-27,49,3683.32,Resolved,1
GC-2022-03625,2022-01-09,5057.51,Small claims,False,Default Judgment,2022-02-28,50,5057.51,Resolved,1
GC-2022-04487,2022-01-09,403.96,Small claims,False,Paid or discontinued,2022-02-14,36,372.79,Resolved,1
GC-2022-02425,2022-01-09,4451.97,Small claims,False,Default Judgment,2022-02-22,44,4451.97,Resolved,1
GC-2022-02456,2022-01-09,14036.79,Fast/multi-track,False,Default Judgment,2022-02-26,48,14036.79,Resolved,1
GC-2022-04418,2022-01-09,16413.61,Fast/multi-track,False,Paid or discontinued,2022-01-31,22,10311.32,Resolved,1
GC-2022-00116,2022-01-10,10586.05,Fast/multi-track,True,Trial Judgment,2022-09-28,261,2581.91,Resolved,1
GC-2022-02114,2022-01-10,1447.01,Small claims,False,Default Judgment,2022-02-24,45,1447.01,Resolved,1
GC-2022-03590,2022-01-10,1278.04,Small claims,False,Paid or discontinued,2022-03-07,56,903.11,Resolved,1
GC-2022-01240,2022-01-10,954.44,Small claims,False,Default Judgment,2022-03-01,50,954.44,Resolved,1
GC-2022-00601,2022-01-10,2385.68,Small claims,False,Default Judgment,2022-03-14,63,2385.68,Resolved,1
GC-2022-01782,2022-01-10,477.27,Small claims,False,Default Judgment,2022-05-13,123,477.27,Resolved,1
