case_id,court_venue,judge_id,filing_date,case_complexity,claim_amount_gbp,num_interlocutory_motions,summary_judgment_filed,summary_judgment_granted,disposition_type,disposition_date,days_to_resolution,final_awarded_amount_gbp,settled_at_trial_door,case_status,event_observed
CC-2022-0878,Singapore International Comm.,JUD-09,2022-01-01,Low,623900.22,0,True,False,Dismissed,2022-09-06,248,0.0,False,Resolved,1
CC-2022-0499,High Court — KBD (TCC),JUD-05,2022-01-01,High,299404.98,5,True,False,Settled,2025-03-28,1182,78611.23,False,Resolved,1
CC-2022-0209,High Court — Chancery Division,JUD-04,2022-01-01,Medium,1538173.98,0,False,False,Dismissed,2023-02-27,422,0.0,False,Resolved,1
CC-2022-1219,High Court — KBD (TCC),JUD-05,2022-01-01,Low,965562.89,2,True,False,Dismissed,2022-12-08,341,0.0,False,Resolved,1
CC-2022-0903,US District Court — N.D. Cal.,JUD-08,2022-01-01,Low,195975.59,0,True,False,Dismissed,2023-03-28,451,0.0,False,Resolved,1
CC-2022-0865,London Commercial Court,JUD-02,2022-01-02,Medium,2879048.49,1,True,False,Settled,2025-04-28,1212,1417360.47,False,Resolved,1
CC-2022-1252,High Court — Chancery Division,JUD-03,2022-01-03,High,458084.76,4,False,False,Settled,2023-11-04,670,84155.57,False,Resolved,1
CC-2022-0575,London Commercial Court,JUD-01,2022-01-03,Medium,330844.5,1,True,False,Settled,2023-04-10,462,59197.75,False,Resolved,1
CC-2022-0146,London Commercial Court,JUD-02,2022-01-03,High,3381968.13,3,False,False,Settled,2023-05-27,509,798442.46,False,Resolved,1
CC-2022-0722,Dubai International Fin. Centre,JUD-10,2022-01-03,Low,376806.91,2,False,False,Dismissed,2022-10-11,281,0.0,False,Resolved,1
CC-2022-0464,Singapore International Comm.,JUD-09,2022-01-04,Medium,2068098.34,4,True,False,Settled,2023-06-30,542,464957.17,False,Resolved,1
CC-2022-0655,High Court — Chancery Division,JUD-04,2022-01-04,Medium,111575.53,4,False,False,Settled,2023-10-13,647,48293.91,True,Resolved,1
CC-2022-0796,High Court — Chancery Division,JUD-03,2022-01-04,High,1468049.57,7,True,False,,,1638,,,Ongoing,0
CC-2022-0518,High Court — Chancery Division,JUD-03,2022-01-04,Low,924599.92,2,False,False,Dismissed,2022-10-05,274,0.0,False,Resolved,1
CC-2022-0982,Dubai International Fin. Centre,JUD-10,2022-01-05,Low,488106.36,4,False,False,Settled,2023-03-03,422,26655.71,False,Resolved,1
CC-2022-0193,US District Court — S.D.N.Y.,JUD-07,2022-01-05,Medium,868608.44,4,True,False,Settled,2023-03-29,448,216018.22,False,Resolved,1
CC-2022-0919,London Commercial Court,JUD-02,2022-01-06,Medium,2270568.08,3,False,False,Settled,2022-11-14,312,1230536.37,False,Resolved,1
