covariate,coef,time_ratio,tr_low,tr_high,p
case_complexity_High,0.8377114321229415,2.3110718751374253,2.2161175724010738,2.4100946982990616,0.0
case_complexity_Medium,0.4330564480516312,1.5419632590656973,1.4988897397490222,1.5862745799478397,3.420087557023638e-197
court_venue_High Court — Chancery Division,0.2770201422141947,1.319192942234163,1.2533929686603333,1.3884472486713282,2.6333996897393273e-26
court_venue_High Court — KBD (TCC),0.3740145902535958,1.4535583580872005,1.3770750821233853,1.534289544406882,6.743901019050464e-42
court_venue_London Commercial Court,0.13998480113559678,1.150256316134591,1.0958090908795999,1.2074088486941492,1.5317510692101017e-08
court_venue_Singapore International Comm.,-0.024105918767888066,0.9761823082546016,0.9224979479932,1.032990806128391,0.4035622613169638
court_venue_US District Court — N.D. Cal.,0.06724374165334436,1.0695561417883637,1.0117499599397408,1.130665071145981,0.01769071875168302
court_venue_US District Court — S.D.N.Y.,-0.0181648441080543,0.9819991422426384,0.9325385411031665,1.0340830677352078,0.49088473288763557
log_claim,0.12808915452634292,1.1366543360587762,1.122596945445542,1.1508877562181932,1.668274016170875e-90
num_interlocutory_motions,0.06610863757311743,1.0683427730279849,1.0593010188469567,1.0774617038728844,1.7845230914012297e-52
summary_judgment_filed,-0.06608089783217422,0.9360551363972188,0.9131403053174104,0.9595450045007556,1.7357105845442178e-07
