court_venue,case_complexity,n,median_days,q1,q3,iqr
Dubai International Fin. Centre,Low,144,245.0,179.5,319.0,139.5
Dubai International Fin. Centre,Medium,138,385.5,285.0,494.75,209.75
Dubai International Fin. Centre,High,51,626.0,447.0,688.5,241.5
High Court — Chancery Division,Low,269,304.0,234.0,396.0,162.0
High Court — Chancery Division,Medium,282,481.0,363.5,644.0,280.5
High Court — Chancery Division,High,92,685.5,526.5,918.25,391.75
High Court — KBD (TCC),Low,247,321.0,242.5,440.0,197.5
High Court — KBD (TCC),Medium,169,532.0,410.0,654.0,244.0
High Court — KBD (TCC),High,58,710.5,573.5,963.75,390.25
London Commercial Court,Low,421,260.0,194.0,347.0,153.0
London Commercial Court,Medium,400,424.0,315.0,549.5,234.5
London Commercial Court,High,148,614.0,484.75,802.5,317.75
Singapore International Comm.,Low,162,229.0,170.0,310.75,140.75
Singapore International Comm.,Medium,194,363.5,283.0,462.5,179.5
Singapore International Comm.,High,54,636.0,538.75,728.5,189.75
US District Court — N.D. Cal.,Low,174,261.0,178.0,330.0,152.0
US District Court — N.D. Cal.,Medium,198,404.0,290.25,532.75,242.5
US District Court — N.D. Cal.,High,56,618.5,478.75,805.5,326.75
US District Court — S.D.N.Y.,Low,284,219.5,157.75,290.0,132.25
US District Court — S.D.N.Y.,Medium,258,352.5,264.25,463.0,198.75
US District Court — S.D.N.Y.,High,90,547.5,418.5,776.0,357.5
