judge_id,court_venue,motions,granted,grant_rate,ci_low,ci_high,vs_overall,outlier
JUD-01,London Commercial Court,276,116,0.42028985507246375,0.36354120724558225,0.4792269080100181,0.17889471968926043,True
JUD-04,High Court — Chancery Division,214,72,0.3364485981308411,0.2765221178180464,0.4021432731550411,0.09505346274763779,True
JUD-08,US District Court — N.D. Cal.,255,72,0.2823529411764706,0.2306498388079632,0.3405162313195721,0.04095780579326727,False
JUD-07,US District Court — S.D.N.Y.,156,44,0.28205128205128205,0.21733163292783506,0.357246824365397,0.040656146668078735,False
JUD-09,Singapore International Comm.,189,52,0.2751322751322751,0.21642262861466707,0.342800784650248,0.033737139749071804,False
JUD-03,High Court — Chancery Division,187,51,0.2727272727272727,0.21395011217528873,0.3406540051624324,0.031332137344069394,False
JUD-06,US District Court — S.D.N.Y.,164,31,0.18902439024390244,0.13648306944540134,0.25580057300692555,-0.05237074513930087,False
JUD-10,Dubai International Fin. Centre,174,29,0.16666666666666666,0.11862275244448894,0.22911089319010303,-0.07472846871653666,True
JUD-05,High Court — KBD (TCC),299,38,0.12709030100334448,0.09401054131855849,0.16963057021091185,-0.11430483437985883,True
JUD-02,London Commercial Court,265,21,0.07924528301886792,0.05241316994699132,0.11810167185524886,-0.16214985236433538,True
