timeline,survival,complexity
0.0,1.0,Low
63.0,0.9994692144373672,Low
66.0,0.9989384288747342,Low
68.0,0.9978768577494693,Low
72.0,0.997346072186836,Low
74.0,0.9962845010615707,Low
75.0,0.9957537154989383,Low
78.0,0.9946921443736728,Low
80.0,0.9941613588110402,Low
83.0,0.9936305732484072,Low
84.0,0.9930997876857744,Low
86.0,0.9925690021231426,Low
89.0,0.9920382165605097,Low
90.0,0.9915074309978771,Low
91.0,0.9909766454352438,Low
92.0,0.9888535031847135,Low
94.0,0.987261146496815,Low
95.0,0.9867303609341825,Low
96.0,0.9861995753715496,Low
97.0,0.9835456475583861,Low
99.0,0.9830148619957538,Low
100.0,0.9824840764331205,Low
102.0,0.98036093418259,Low
104.0,0.9792993630573247,Low
105.0,0.9766454352441608,Low
106.0,0.9745222929936308,Low
107.0,0.9739915074309974,Low
108.0,0.9718683651804667,Low
109.0,0.9708067940552019,Low
110.0,0.9697452229299357,Low
111.0,0.9681528662420378,Low
113.0,0.9670912951167727,Low
114.0,0.9660297239915073,Low
115.0,0.9654989384288744,Low
116.0,0.9649681528662419,Low
117.0,0.9639065817409762,Low
119.0,0.9623142250530782,Low
120.0,0.9612526539278128,Low
121.0,0.9601910828025474,Low
122.0,0.9580679405520166,Low
123.0,0.9570063694267518,Low
124.0,0.955944798301486,Low
125.0,0.9548832271762211,Low
126.0,0.9538216560509555,Low
127.0,0.9506369426751587,Low
128.0,0.948513800424628,Low
129.0,0.9469214437367306,Low
130.0,0.9453290870488319,Low
131.0,0.9421443736730363,Low
132.0,0.9389596602972395,Low
133.0,0.9378980891719745,Low
134.0,0.9363057324840766,Low
136.0,0.9352441613588105,Low
137.0,0.9341825902335453,Low
138.0,0.9294055201698515,Low
139.0,0.926220806794055,Low
140.0,0.9251592356687897,Low
141.0,0.9235668789808918,Low
142.0,0.9193205944798301,Low
144.0,0.9177282377919324,Low
145.0,0.9161358811040338,Low
146.0,0.9134819532908703,Low
147.0,0.908704883227176,Low
148.0,0.9071125265392779,Low
149.0,0.9039278131634819,Low
150.0,0.9012738853503179,Low
151.0,0.8986199575371551,Low
152.0,0.894904458598726,Low
153.0,0.8917197452229298,Low
154.0,0.8901273885350319,Low
155.0,0.8874734607218684,Low
156.0,0.8842887473460717,Low
157.0,0.8832271762208068,Low
158.0,0.8800424628450108,Low
159.0,0.8795116772823774,Low
160.0,0.876857749469214,Low
161.0,0.8742038216560509,Low
162.0,0.8720806794055198,Low
163.0,0.8688959660297239,Low
164.0,0.863588110403397,Low
165.0,0.8619957537154989,Low
166.0,0.8588110403397023,Low
167.0,0.8556263269639063,Low
168.0,0.8529723991507429,Low
169.0,0.8481953290870488,Low
170.0,0.8466029723991506,Low
171.0,0.8450106157112527,Low
172.0,0.8412951167728235,Low
173.0,0.8370488322717622,Low
174.0,0.8333333333333331,Low
175.0,0.8312101910828023,Low
176.0,0.8290870488322719,Low
177.0,0.8269639065817409,Low
178.0,0.8253715498938428,Low
179.0,0.8221868365180466,Low
180.0,0.8195329087048834,Low
181.0,0.8163481953290866,Low
182.0,0.8115649051220801,Low
183.0,0.8094376052397159,Low
184.0,0.8067784803867596,Low
185.0,0.8030507910384383,Low
186.0,0.7987877476885327,Low
187.0,0.7939918239198892,Low
188.0,0.7897201799445301,Low
189.0,0.7865164469630108,Low
190.0,0.7833083581242759,Low
191.0,0.7779505718169965,Low
192.0,0.7741949483668455,Low
193.0,0.7715011594024517,Low
194.0,0.7666523392665422,Low
195.0,0.7644942749758553,Low
196.0,0.758547006924417,Low
197.0,0.7553007287207462,Low
198.0,0.7482671259461262,Low
199.0,0.743935623046293,Low
200.0,0.7379754687465775,Low
201.0,0.7347220868123533,Low
202.0,0.7325531655228703,Low
203.0,0.7282121097271791,Low
204.0,0.7249514584895946,Low
205.0,0.721141653527562,Low
206.0,0.7195064116828279,Low
207.0,0.7151457667635379,Low
208.0,0.7146006861486269,Low
209.0,0.7113302024591598,Low
210.0,0.7042332779526601,Low
211.0,0.7009526881485325,Low
212.0,0.6965785684096961,Low
213.0,0.6927482070751568,Low
214.0,0.68946244482816,Low
215.0,0.6872701954010438,Low
216.0,0.6845276966165227,Low
217.0,0.6806881983181926,Low
218.0,0.676848700019863,Low
219.0,0.6724535785911628,Low
220.0,0.6686047028347132,Low
221.0,0.6658509767110116,Low
222.0,0.663094971012704,Low
223.0,0.6586816933354149,Low
224.0,0.6559233947871088,Low
225.0,0.6531650962388031,Low
226.0,0.649303478271175,Low
227.0,0.6443343189986914,Low
228.0,0.6404694173423154,Low
229.0,0.6393642069586362,Low
230.0,0.6354926243905473,Low
231.0,0.6310641043599516,Low
232.0,0.628296279340829,Low
233.0,0.626082019325531,Low
234.0,0.6227606293025837,Low
235.0,0.6172200543087888,Low
236.0,0.6116745012601924,Low
237.0,0.608899208604747,Low
238.0,0.6038945575751187,Low
239.0,0.6027803609744262,Low
240.0,0.599992292699799,Low
241.0,0.597755601953481,Low
242.0,0.5960780838937425,Low
243.0,0.5921638750876862,Low
244.0,0.5882496662816299,Low
245.0,0.5843317332045872,Low
246.0,0.5815305264298766,Low
247.0,0.5753619287531854,Low
248.0,0.5731166139092702,Low
249.0,0.5703072187430483,Low
250.0,0.5669259506477337,Low
251.0,0.5612848964124328,Low
252.0,0.5584643692947824,Low
253.0,0.555643842177132,Low
254.0,0.5533828295945191,Low
255.0,0.5499878429098899,Low
256.0,0.5460270251111563,Low
257.0,0.5426214511499639,Low
258.0,0.5403463087971336,Low
259.0,0.5375023808560963,Low
260.0,0.5329520961504359,Low
261.0,0.5312457393858135,Low
262.0,0.5295393826211909,Low
263.0,0.5261266690919457,Low
264.0,0.5227102621497904,Low
265.0,0.5187244540506089,Low
266.0,0.5135998436373759,Low
267.0,0.5079058320671166,Low
268.0,0.5061976285960388,Low
269.0,0.5044894251249611,Low
270.0,0.49992906873965076,Low
271.0,0.49935902419148714,Low
272.0,0.4982189350951593,Low
273.0,0.49308265741376583,Low
274.0,0.4885170772525274,Low
275.0,0.4833687708177817,Low
276.0,0.48050521174895566,Low
277.0,0.47763823554520324,Low
278.0,0.47534189787431275,Low
279.0,0.4724714757856998,Low
280.0,0.4690269692793643,Low
281.0,0.4673047160261963,Low
282.0,0.4627063916372549,Low
283.0,0.4598180870702307,Low
284.0,0.45634776188479476,Low
285.0,0.45229391120815315,Low
286.0,0.449977425107215,Low
287.0,0.44881918205674615,Low
288.0,0.4459235744305733,Low
289.0,0.4436070883296353,Low
290.0,0.4424488452791665,Low
291.0,0.43780980102984374,Low
292.0,0.43665003996751295,Low
293.0,0.43374678172304804,Low
294.0,0.43200249171611904,Low
295.0,0.4314210617138093,Low
296.0,0.42909220308107626,Low
297.0,0.42734318594895204,Low
298.0,0.4250079772825644,Low
299.0,0.42150034610829307,Low
300.0,0.41740810973830944,Low
301.0,0.4162372595006142,Low
302.0,0.4121392836686813,Low
